NPS (pulgadas),Schedule,Altura Caída (m),Masa Tubería (kg),Velocidad Impacto (km/h),Momento Impacto (kg·m/s),Energía Impacto (kJ),Radio Operacional (m),Radio Exclusión Látigo (m)
6,20,10,133.89,50.43,1875.38,13.13,4.28,12.49
10,10,8,166.66,45.1,2087.97,13.08,3.83,11.49
4,20,16,83.33,63.78,1476.43,13.08,5.42,15.0
12,40,3,443.17,27.62,3399.98,13.04,2.35,8.2
6,10,16,82.96,63.78,1469.87,13.02,5.42,15.0
8,30,6,220.9,39.06,2396.78,13.0,3.32,10.35
8,10,11,119.81,52.89,1760.07,12.93,4.49,12.95
5,40,10,130.6,50.43,1829.32,12.81,4.28,12.49
5,30,10,130.6,50.43,1829.32,12.81,4.28,12.49
12,10,6,215.87,39.06,2342.16,12.71,3.32,10.35
8,40,5,255.29,35.66,2528.58,12.52,3.03,9.71
4,30,13,96.45,57.49,1540.41,12.3,4.88,13.82
4,40,13,96.45,57.49,1540.41,12.3,4.88,13.82
10,20,5,250.55,35.66,2481.54,12.29,3.03,9.71
4,20,15,83.33,61.76,1429.55,12.26,5.25,14.62
6,10,15,82.96,61.76,1423.2,12.21,5.25,14.62
5,20,11,111.67,52.89,1640.59,12.05,4.49,12.95
10,30,4,306.08,31.89,2711.55,12.01,2.71,9.0
6,20,9,133.89,47.84,1779.14,11.82,4.06,12.0
8,20,6,199.9,39.06,2168.9,11.77,3.32,10.35
8,10,10,119.81,50.43,1678.16,11.75,4.28,12.49
12,20,4,298.28,31.89,2642.4,11.7,2.71,9.0
6,40,7,169.58,42.19,1987.36,11.65,3.58,10.94
6,30,7,169.58,42.19,1987.36,11.65,3.58,10.94
5,40,9,130.6,47.84,1735.45,11.53,4.06,12.0
5,30,9,130.6,47.84,1735.45,11.53,4.06,12.0
12,30,3,391.11,27.62,3000.64,11.51,2.35,8.2
4,20,14,83.33,59.66,1381.08,11.44,5.07,14.22
10,10,7,166.66,42.19,1953.12,11.44,3.58,10.94
6,10,14,82.96,59.66,1374.94,11.39,5.07,14.22
4,40,12,96.45,55.24,1479.98,11.35,4.69,13.39
4,30,12,96.45,55.24,1479.98,11.35,4.69,13.39
5,20,10,111.67,50.43,1564.24,10.96,4.28,12.49
5,10,16,69.38,63.78,1229.2,10.89,5.42,15.0
8,30,5,220.9,35.66,2187.95,10.84,3.03,9.71
10,40,3,361.75,27.62,2775.37,10.65,2.35,8.2
3,40,16,67.76,63.78,1200.52,10.64,5.42,15.0
3,30,16,67.76,63.78,1200.52,10.64,5.42,15.0
4,20,13,83.33,57.49,1330.84,10.63,4.88,13.82
12,10,5,215.87,35.66,2138.09,10.59,3.03,9.71
6,10,13,82.96,57.49,1324.93,10.58,4.88,13.82
8,10,9,119.81,47.84,1592.04,10.58,4.06,12.0
6,20,8,133.89,45.1,1677.39,10.51,3.83,11.49
4,40,11,96.45,52.89,1416.97,10.41,4.49,12.95
4,30,11,96.45,52.89,1416.97,10.41,4.49,12.95
5,40,8,130.6,45.1,1636.2,10.25,3.83,11.49
5,30,8,130.6,45.1,1636.2,10.25,3.83,11.49
5,10,15,69.38,61.76,1190.17,10.21,5.25,14.62
3,20,16,63.94,63.78,1132.83,10.04,5.42,15.0
8,40,4,255.29,31.89,2261.63,10.02,2.71,9.0
6,30,6,169.58,39.06,1839.94,9.98,3.32,10.35
6,40,6,169.58,39.06,1839.94,9.98,3.32,10.35
3,30,15,67.76,61.76,1162.4,9.97,5.25,14.62
3,40,15,67.76,61.76,1162.4,9.97,5.25,14.62
5,20,9,111.67,47.84,1483.97,9.86,4.06,12.0
10,20,4,250.55,31.89,2219.55,9.83,2.71,9.0
4,20,12,83.33,55.24,1278.63,9.81,4.69,13.39
8,20,5,199.9,35.66,1979.92,9.81,3.03,9.71
10,10,6,166.66,39.06,1808.24,9.81,3.32,10.35
6,10,12,82.96,55.24,1272.95,9.77,4.69,13.39
5,10,14,69.38,59.66,1149.81,9.53,5.07,14.22
4,40,10,96.45,50.43,1351.03,9.46,4.28,12.49
4,30,10,96.45,50.43,1351.03,9.46,4.28,12.49
3,20,15,63.94,61.76,1096.85,9.41,5.25,14.62
8,10,8,119.81,45.1,1500.99,9.4,3.83,11.49
3,30,14,67.76,59.66,1122.99,9.31,5.07,14.22
3,40,14,67.76,59.66,1122.99,9.31,5.07,14.22
